product_id,name,sku,price,supplier_id,quantity_on_hand
1,Ноутбук Lenovo,NB-001,70000.00,1,50
2,Мышь Logitech,MS-002,5000.00,1,200
3,Клавиатура Logitech,KB-003,3000.00,1,150
4,Монитор Samsung,MN-004,15000.00,2,70
5,Принтер HP,PR-005,20000.00,2,30
6,Сканер Canon,SC-006,12000.00,3,20
7,Паллета,PL-007,500.00,5,500
8,Стеллаж,ST-008,7000.00,5,60
9,Сканер штрихкодов,SC-009,3000.00,4,100
10,ТСД,TS-010,25000.00,4,40
11,Ноутбук Dell,NB-011,65000.00,1,25
12,Мышь A4Tech,MS-012,1500.00,1,300
13,Клавиатура Genius,KB-013,1200.00,1,220
14,Монитор LG,MN-014,14000.00,2,65
15,Принтер Epson,PR-015,18000.00,2,35
16,Паллета усиленная,PL-016,700.00,5,400
17,Стеллаж складской,ST-017,9000.00,5,45
18,Сканер Zebra,SC-018,10000.00,4,55
19,ТСД Honeywell,TS-019,30000.00,4,20
20,Маркер,MK-020,100.00,6,1000
